id,FalseSent,ref1,ref2,ref3
8439,لا يتم إهمال العمال الشباب عادة في مكان العمل.,عادة ما يفتقر العمال الشباب إلى الخبرة في العمل والحسم.,العمال الشباب في مكان العمل بعيدين عن الأنظار.,لا يعرف العمال الشباب حقوقهم ويمكن إهمالهم في مكان العمل
8440,لا يشعر الناس بالقلق عندما يذهبون إلى محيط غريب.,قد يكون الناس غير قادرين على التكيف مع محيط غريب.,لا يشعر الناس بالراحة في محيط غريب.,يشعر الناس بالقلق عندما يذهبون إلى محيط غريب
8441,عندما تمطر ، لا يجب أن تأخذ مظلة.,إذا لم تأخذ مظلة ، فسوف تبلل وتصاب بنزلة برد.,البريللا تبقيك جافًا,يمكن أن تحمي المظلة أي شخص من المطر ويجب على الناس أخذها.
8442,السمنة المفرطة مفيدة لصحتك.,الأشخاص الذين يعانون من السمنة المفرطة معرضون لخطر الإصابة بمرض السكري من النوع 2 وتوقف التنفس أثناء النوم وأمراض القلب.,السمنة تقتل الناس,السمنة هي اضطراب ناتج عن زيادة السعرات الحرارية ، وبالتالي فهي ليست جيدة للصحة
8443,النحافة المفرطة مفيدة لصحتك,النحافة المفرطة ستكون عرضة لهشاشة العظام والكسر.,يمكن أن يقتلك النحيف,كونك نحيفًا يضر بصحتك تمامًا مثل الدهون.
8444,إذا كنت لا تفهم ، فلا يجب أن تطرح أسئلة.,يمكن أن يساعدك طرح الأسئلة على الآخرين في فهم المشكلة من زاوية أخرى.,طرح الأسئلة هو كيف تفهم,تحتاج إلى طرح سؤال لتوضيح ما لا تفهمه.
8445,لا ينبغي تحديث أفكار الناس من وقت لآخر,أولئك الذين لا يتم تحديث أفكارهم من وقت لآخر سيتم القضاء عليهم في النهاية بمرور الوقت ويفشلون في تحقيق أشياء عظيمة.,التغيير جزء مهم من حياة كل فرد.,كلما اكتسبنا المزيد من المعرفة تتغير الآراء.
8446,لعب الشطرنج سيء للناس.,يمكن أن يؤدي لعب الشطرنج إلى تدريب الناس على التفكير وقدرات التأقلم.,لعب الشطرنج سوف يشحذ العقل وليس سيئاً,لعب الشطرنج يمثل تحديًا.
8447,المديرين عادة ليس لديهم قدرات قوية.,لدى المديرين العديد من الفرص لممارسة قدرتهم على التعامل مع الأشياء.,يتقاضى المدير أجرًا أكثر من الأعمال ويجب أن يكون لديه مهارات خاصة.,يحتاج المديرون الماهرون إلى امتلاك مهارات متعددة.
8448,البيئة الأسرية ليست مهمة للأطفال.,يمكن أن تجعل البيئة الأسرية الجيدة الأطفال أكثر ثقة وتحدثًا في التواصل بين الأشخاص.,يزدهر الأطفال في البيئات المنزلية السعيدة.,تعد البيئة الأسرية الصحية أمرًا حاسمًا للغاية لتنمية الأطفال.
8449,لا داعي للتقشير قبل تناول الفاكهة.,هناك العديد من المخلفات الكيميائية الضارة على قشر الفاكهة.,يجب عمل التقشير قبل المشروبات.,يجب تقشير الثمار قبل الأكل
8450,تحب الأسود أن تأكل العشب.,الأسود حيوانات آكلة للحوم ولا تأكل العشب.,الأسود حيوانات آكلة اللحوم.,الأسود حيوانات غير نباتية.
8451,مدرسو اللغة الإنجليزية جيدون في تدريس الحساب.,مدرسو اللغة الإنجليزية جيدون في تدريس اللغة الإنجليزية.,مدرسو اللغة الإنجليزية جيدون في تدريس اللغة.,مدرسو اللغة الإنجليزية جيدون بشكل أساسي في تدريس اللغة الإنجليزية
8452,يمكن للإنسان أن يطير بأجنحة.,لا يستطيع الإنسان الطيران لأنه ليس لديه أجنحة.,الرجل ليس لديه أجنحة.,لا يمكن للإنسان أن ينمو أجنحة ولا يمكنه الطيران بدون مساعدة التكنولوجيا مثل الهليكوبتر أو الطائرة.
8453,يريد الذهاب إلى السوبر ماركت لشراء حيوان أليف.,محلات السوبر ماركت لا تبيع الحيوانات الأليفة.,محلات السوبر ماركت لا تبيع الحيوانات الأليفة.,لا تباع الحيوانات الأليفة في محلات السوبر ماركت.
8454,أعمل 30 ساعة في اليوم.,لا يوجد سوى 24 ساعة في اليوم.,يتكون اليوم من 24 ساعة فقط.,30 ساعة هي أكثر من يوم ولا يمكن لأحد أن يعمل أكثر من 15 ساعة متواصلة.
8455,يمكن للأرانب تقليد الكلام البشري.,ليس للأرانب القدرة على تقليد الكلام البشري.,لا تستطيع الأرانب التحدث,يمكن للببغاوات تقليد ما يقوله الناس.
8456,يمكن للناس تعلم القيادة في المدارس الابتدائية.,المدارس العادية لا تعلم الناس القيادة.,لا أحد يستطيع تعليم القيادة في المدرسة الابتدائية.,يجب على الناس أن يتعلموا القيادة في المدرسة الابتدائية
8457,يمكن أن يولد الإنسان من جديد.,هناك حياة واحدة فقط.,لا أحد يستطيع أن يولد من جديد في هذا العالم.,ولادة الرجال هي خرافة.
8458,نقوم بتشغيل مكيف الهواء ليبرد في الشتاء.,يكون الجو باردًا في الشتاء لذلك لا تحتاج إلى تشغيل مكيف الهواء ليبرد.,الشتاء بارد بالفعل ، لذا لا داعي لتكييف الهواء.,في الشتاء نحتاج إلى التسخين وليس التهدئة
8459,الكلاب حيوانات شرسة.,القطط حيوانات لطيفة بشكل عام.,الكلب حيوان أليف. لذلك لا يمكن أن تكون شرسة,الكلاب مخلوقات ودية للغاية ومحبة
8460,يمكنني مشاهدة ارتفاع القمر في الصباح الباكر,في الصباح الباكر تشرق الشمس ويسقط القمر,يرتفع القمر ليلاً فلا يمكنك مشاهدته وهو يرتفع في الصباح.,تشرق الشمس في الصباح ، ويخرج القمر في الليل.
8461,السيارة لها عجلتان.,السيارة لها أربع عجلات.,سيارة لها 4 عجلات,لن تكون سيارة إذا كانت تحتوي على عجلتين فقط.
8462,الناس يأكلون بأعينهم.,ينظر الناس إلى الأشياء بأعينهم.,الفم للأكل لا للعينين,يأكل الناس بأفواههم ويرون بأعينهم.
8463,يحب الأطفال تناول الدواء.,لا يحب الأطفال عادة تناول الأدوية.,الطب عادة لا يكون طعمه جيدًا للأطفال.,يحب الطفل تناول السكر ولهذا السبب دائمًا ما تكون الأدوية مغلفة بالسكر
8464,يعيش المرضى في مدينة ملاهي.,مدينة الملاهي مكان للعب الناس.,مدينة الملاهي ليست مستشفى,لا يذهب المرضى إلى المتنزهات الترفيهية.
8465,السيارات هي وسيلة نقل صديقة للبيئة.,سوف يتسبب عوادم السيارات في تلوث البيئة.,تسبب السيارات قدرا كبيرا من التلوث.,السيارات تولد الدخان
8466,يشعر الناس بالراحة عندما يمرضون.,أن تكون مريضًا هي تجربة غير سارة ولن يشعر أي شخص بالراحة عند المرض.,عندما يمرض الناس ، يصبحون قلقين.,يصاحب المرض أو المرض العديد من المشاعر السيئة وغير المريحة ، مثل سيلان الأنف والسعال والقيء.
8467,يمكن للطلاب الغش في الامتحانات.,الغش في الامتحانات هو انتهاك لنظام الامتحان.,الغش في الامتحانات خطأ أخلاقيا.,إذا غش الطلاب في الامتحانات فسيتم القبض عليهم وسيؤثر ذلك على مستقبلهم بشكل سيء للغاية.
8468,يمكن للطاولة أن تجلب لنا الضوء.,الجدول لا يلمع.,لا يمكن للطاولة أن تنتج الضوء ، لكن الشمس تستطيع ذلك.,الطاولة ليس لديها القدرة على إعطاء الضوء.
8469,يأكل الفطور في المساء.,المساء هو وقت العشاء.,يُطلق على طعام المساء تيفين أو وجبات خفيفة وليس وجبة الإفطار.,يبدأ الإفطار في عملية التمثيل الغذائي ، مما يساعدك على حرق السعرات الحرارية طوال اليوم والرغبة في تناول الطعام في الصباح.
8470,رأيت الغيوم تطفو في البحر.,لا تظهر الغيوم في البحر بل في السماء.,تظهر الغيوم دائمًا في السماء.,قد يرى انعكاس السماء في البحر
8471,نحتاج إلى ارتداء سترات قطنية في الصيف.,يكون الجو حارًا جدًا في الصيف ، لذا لا داعي لارتداء سترة قطنية.,عادة ما يكون الطقس في الصيف حارًا ورطبًا جدًا.,الجاكيتات القطنية تجعل أجسامنا دافئة
8472,الهواء الذي يستنشقه الناس هو ثاني أكسيد الكربون.,الناس يتنفسون ثاني أكسيد الكربون.,يزفر الناس ثاني أكسيد الكربون,ثاني أكسيد الكربون هو ما يبصقه الناس
8473,يحتاج الناس للجلوس والمشي.,لا يستطيع الناس المشي أثناء الجلوس.,لا يستطيع الناس المشي عندما يجلسون.,يحتاج الناس إلى المشاهدة أمامهم وهم يمشون.
8474,أرتدي ملابسي على قدمي.,يجب ارتداء الملابس على الجسم.,القدم مكان لا يمكننا فيه ارتداء الملابس.,يتم ارتداء الملابس على الجسم وليس القدمين.
8475,احتفظ بالطعام في فرن الميكروويف.,أفران الميكروويف هي أجهزة كهربائية لتسخين الطعام.,تعمل أفران الميكروويف على طهي الطعام,فرن الميكروويف يسخن الطعام.
8476,الإكثار من تناول العشاء مفيد للصحة.,تناول الكثير من العشاء يمكن أن يسبب عبئًا على المعدة.,إن الإفراط في تناول العشاء يمكن أن يسبب لك آلامًا في المعدة ويؤدي إلى مشاكل صحية.,الإكثار من تناول العشاء يؤدي إلى السمنة.
8477,يمكن للإنسان والقرد التواصل من خلال اللغة.,القرود لا تستطيع فهم لغة البشر والتحدث.,القرود لا تستطيع فهم لغة البشر كما نستطيع.,الرجل والقرد لهما لغة مختلفة.
8478,يمكن استخدام الهواتف المحمولة عندما تكون خارج الطاقة.,لن تعمل الهواتف المحمولة عندما تكون خارج الطاقة.,يمكن استخدام الهواتف المحمولة عندما تكون خارج المحطة.,بدون كهرباء ، الهواتف المحمولة لا تعمل تمامًا.
8479,يمكن للفراشات أن تصنع العسل.,ليس لدى الفراشات القدرة على صنع العسل.,لا تحتوي الفراشات على أعضاء يمكنها صنع العسل,الفراشات لا تصنع العسل
8480,هناك تنانين في الحياة الواقعية.,التنين هو صورة افتراضية.,لا توجد أي تقارير أكثر مما شاهده أي شخص التنانين في الواقع,التنين حيوانات خيالية.
8481,أستطيع أن أرى البكتيريا بالعين المجردة.,البكتيريا صغيرة جدًا ويصعب رؤيتها بالعين وحدها.,البكتيريا صغيرة ولا يمكن رؤيتها بالعين المجردة.,تستطيع أن ترى البكتيريا من خلال المجهر.
8482,أستطيع أن أرى نفسي على الحائط.,الجدران لا تعكس الضوء.,الجدار غير قادر على الانعكاس.,الجدار لا ينعكس
8483,يكون الجو حارًا أن يكون لديك شعر طويل في الشتاء.,يكون الجو باردًا في الشتاء حتى لا يسخن الشعر الطويل.,سوف يجعلك الشعر الطويل في الشتاء أكثر دفئًا,من الرائع أن يكون لديك شعر طويل في الشتاء
8484,أشعل سيجارته بالحطب.,لا يمكن للخشب إشعال السيجارة.,الخشب ليس ساخنًا بشكل طبيعي بما يكفي لإشعال النيران في سيجارة.,لا يستخدم الخشب لإنتاج النار
8485,السرطان سهل العلاج.,السرطان مرض يصعب علاجه.,عملية علاج السرطان معقدة,السرطان مرض خطير للغاية يصعب علاجه.
8486,نفايات البطاريات مفيدة للبيئة.,يمكن أن تتسبب نفايات البطاريات في تلوث البيئة.,نفايات البطاريات ضارة بالبيئة.,يجب التخلص من نفايات البطاريات أو إعادة تدويرها لأنها تلحق الضرر بالبيئة
8487,الناس يبنون منازل في الهواء.,الهواء لا يكفي لدعم المنزل.,يجب أن يتشكل المنزل على أساس متين وصلب.,تم بناء المنازل على الأرض بحيث يمكن للناس الدخول إليها والخروج منها بسهولة
8488,جميع السيارات تحرق الزيت.,السيارات الكهربائية تعمل بالكهرباء وليس النفط.,معظم السيارات تعمل بالبنزين.,لا تحترق جميع السيارات بالنفط ، فالعديد من السيارات تحترق بالبنزين أيضًا
8489,نحن نطعم السلاحف بطعام الكلاب.,السلاحف لا تأكل طعام الكلاب.,طعام الكلاب للكلاب,طعام الكلاب هو للكلاب وليس للسلاحف
8490,تضع المرأة كريم الوجه على فمها.,عادة ما يوضع كريم الوجه على الوجه.,كريم الوجه ليس للفم,يوضع كريم الوجه على الوجه
8491,يمكن للأطفال البالغين من العمر ثلاث سنوات شرب النبيذ.,يعتبر الكحول الموجود في النبيذ مادة خطرة للأطفال في سن الثالثة.,الأطفال بعمر ثلاث سنوات هم أقل من السن القانوني لشرب الكحول والنبيذ يحتوي على الكحول.,النبيذ غير مستحسن للأطفال بعمر ثلاث سنوات.
8492,يستمتع الناس بالبرودة تحت مصباح الشارع.,لا يوجد ظل تحت مصباح الشارع.,المصباح لا يلقي بظلاله,لأن مصابيح الشوارع توفر الضوء ولكنها لا توفر الظل لجعل درجة الحرارة باردة.
8493,يلعب اللاعبون كرة القدم بأيديهم.,يلعب الناس كرة القدم بأقدامهم,تُلعب كرة القدم بالأرجل.,كما يقول الاسم قدم وكرة وليس يد وكرة
8494,يمكن للناس أن يأخذوا مترو الأنفاق في الهواء.,تم بناء مترو الأنفاق تحت الأرض.,قطارات الأنفاق دائمًا تحت الأرض وليست في الهواء.,لم يتم بناء قطارات الأنفاق في الهواء.
8495,لا يوجد إنترنت يجعل حياة الناس أكثر راحة.,لا يوجد إنترنت يجعل حياة الناس مزعجة للغاية.,يساعد الإنترنت الأشخاص على فعل الكثير من الأشياء,يعني الإنترنت أن لدينا الآن إمكانية الوصول على مدار الساعة طوال أيام الأسبوع.
8496,يمكن للإنسان أن يعيش بدون هواء.,سوف يموت الإنسان بدون هواء.,بدون الأكسجين الذي يوفره الهواء ، سيموت المرء.,لا أحد يستطيع العيش بدون هواء
8497,قطع المزيد من الأشجار مفيد لحماية الرياح وتثبيت الرمال.,قطع المزيد من الأشجار سيسرع من التصحر.,لحماية الرياح ومستوى الأكسجين والحفاظ عليهما ، يجب أن نزرع المزيد والمزيد من الأشجار,توفر الأشجار المأوى للرياح وتثبت الجذور التربة
8498,الموز حامض.,عادة ما يكون الموز حلوًا.,الموز حلو,الموز حلو.
8499,يذهب الناس إلى الحديقة لشراء الخضار.,الحديقة ليست مكانا لبيع الخضار.,لا يوجد متجر في الحدائق.,الخضار ليست للبيع في حديقة.
8500,الأوراق صفراء في الصيف.,تتحول الأوراق إلى اللون الأصفر في الخريف.,الأوراق بنية في الصيف.,الأوراق صفراء في الخريف.
8501,تنضج الثمرة في الربيع.,الربيع هو موسم البذر وليس النضوج.,تبدأ الثمار في النمو في الربيع,تنضج الفاكهة فقط في الخريف
8502,يمكن للناس رؤية الأشياء بوضوح عن بعد بأعينهم المجردة.,من الصعب رؤية الأشياء بوضوح من بعيد بالعين المجردة وحدها.,يمكن للعين المجردة رؤية الأشياء لمسافة معينة فقط.,يستخدم الناس التلسكوبات لرؤية الأشياء بعيدًا جدًا ولا يمكن للعين المجردة رؤيتها.
8503,يحب الأطفال أكل الورق.,لا يمكن أكل الورق.,يجب ألا يأكل الأطفال الورق ، فهو ليس طعامًا.,الورق ليس شيئًا صالحًا للأكل.
8504,يمكن للكتب أن تروي العطش.,لا يمكن شرب الكتب.,لا تستخدم الكتب لإرواء العطش.,الكتب مصنوعة من الورق والورق لا يروي العطش.
8505,يمكن للأسماك أن تترك الماء.,تموت الأسماك عندما تترك الماء.,تتنفس الأسماك من خلال الخياشيم بدلاً من الرئتين.,الماء هو الأكثر أهمية لحياة الأسماك.
8506,تجري السلحفاة بسرعة كبيرة.,تتحرك السلحفاة ببطء شديد.,السلحفاة بطيئة جدا.,تعد السلاحف من بين أبطأ الحيوانات حركة في العالم.
8507,الطلاب يطبخون في المدرسة.,المدرسة مكان للطلاب للدراسة وليس للطهي.,الطبخ غير مسموح به في المدرسة.,المدرسة للدراسة وليس للطبخ
8508,تشرق الشمس في الليل.,تغرب الشمس ليلا.,لا تظهر الشمس في الليل,الغواصة ترتفع دائمًا في الصباح.
8509,سوف يتجمد الجليد عندما تشرق الشمس عليه.,سترتفع درجة الحرارة عندما تشرق الشمس وسيذوب الجليد عندما ترتفع درجة الحرارة.,الجليد بالفعل في حالة تجمد وأشعة الشمس تجعله أكثر سخونة,إنها طبيعة الجليد
8510,يمكنني قطف التفاح من شجرة الكمثرى.,لا يوجد تفاح على شجرة الكمثرى.,ينمو الكمثرى على أشجار الكمثرى.,لا ينمو التفاح على أشجار الكمثرى
8511,الجليد ساخن.,الجليد بارد.,الجليد بارد دائمًا,الجليد بارد وليس ساخن
8512,يمكنك التحدث بحرية في الفصل.,التحدث بحرية في الفصل ينتهك الانضباط في الفصل.,يجب اتباع الانضباط في الفصل ، لذلك يجب أن يكون الحديث أقل.,إذا تحدث أي شخص بحرية في الفصل فسيواجه العقوبة وسيتم طرده من الفصل.
8513,يمكن للناس العيش بدون ماء.,الماء هو مصدر حياة الإنسان.,الماء ضروري للناس ليعيشوا.,الماء هو ضرورة للناس ليعيشوا.
8514,يمكن للناس عبور الطريق حسب الرغبة.,عبور الطريق حسب الرغبة هو عمل خطير للغاية.,إذا عبر المرء الطريق كما يشاء ، فسوف يتسبب ذلك في وقوع حادث.,عبور الطريق حسب الرغبة يمكن أن يكلف المرء حياته
8515,زوج من الكعب العالي سيساعدك عندما تتسلق جبلًا.,ارتداء الكعب العالي أثناء التسلق أمر غير مريح وخطير,كانت الأرجل تنزلق إذا تم ارتداء الكعب العالي لتسلق الجبال.,الكعب العالي ليس له قبضة
8516,يمكن للأطفال اللعب بالنار بحرية.,اللعب بالنار خطر على الأطفال.,حروق النار,اللعب الحر بالنار سيسبب حوادث خطيرة.
8517,القتال سلوك جيد.,يمكن أن يسبب القتال ضررًا نفسيًا وجسديًا للآخرين.,عادة ما يكون القتال نتيجة سلبية لأفعال أو تصريحات غير لائقة.,القتال يخلق العنف
8518,يمكن شرب الماء الخام.,تحتوي المياه الخام على بكتيريا لذلك لا يمكن شربها.,الماء نقي وجيد لك.,تحتوي المياه الخام على عناصر يمكن أن تكون ضارة بالناس.
8519,يظهر القمر في النهار.,يظهر القمر في الليل.,القمر هو نجم يخرج في الليل.,لا أحد يرى القمر في النهار.
8520,الدجاج نوع من الفاكهة.,الدجاج نوع من الدواجن وليس الفاكهة.,الدجاج حيوان,الدجاجة طائر.
8521,يمكن أن تهب الرياح المنزل بسهولة.,عادة ما يكون المنزل ثقيلًا جدًا بحيث لا يمكن أن تتسبب فيه الرياح.,يتم الشعور بالرياح ولا تتكون من شكل مادي أو مكونات فيزيائية مثل المتفجرات.,المنزل عبارة عن شيء ثقيل ولا يمكن أن تهب عليه الرياح بسهولة
8522,اصطادوا سمكة في الغابة.,لا توجد أسماك في الغابة.,لا يمكن للأسماك أن تعيش في الغابة.,لا تعيش الأسماك في الغابة.
8523,كل العشب غير صالح للأكل.,يمكن أن تؤكل بعض الحشائش كخضروات.,العشب مناسب للأكل,تأكل الحيوانات العشب.
8524,يضيء مصباح الشارع عندما يكون ساطعًا,ليست هناك حاجة لمصابيح الشوارع عندما تكون ساطعة,يضيء الضوء فقط عندما يكون الظلام بالخارج.,المصباح غير ضروري مع وجود ضوء متوفر بالفعل.
8525,إنه مزارع وجيد في تربية الطلاب,إن عمل المزارع هو زراعة المحاصيل وليس الطلاب,الزراعة عمل يتم إجراؤه على تربة الأرض للتحضير للزراعة.,لا يقوم المزارعون بتربية الطلاب.
8526,ذهبوا للتخييم وعاشوا في فنادق خمس نجوم.,معنى التخييم هو العيش في الخيام وليس في الفنادق.,لا توجد فنادق الخمس نجوم في مناطق التخييم.,ذهبوا للتخييم وعاشوا في المنصة.
8527,نذهب إلى المطعم لرؤية الطبيب.,المطاعم أماكن لتناول الطعام.,الأطباء لا يعملون في المطعم.,الأطباء لا يعملون في المطاعم.
8528,الشمس تشرق من الغرب.,الشمس تشرق في الشرق.,الشمس تشرق في الشرق,لا يبدو أن الشمس تشرق من الغرب.
8529,تناول المزيد من السكر بانتظام مفيد لأسنانك.,تناول المزيد من السكر يمكن أن يسبب تسوس الأسنان.,لا أحد يحصل على نتائج جيدة لأسنانه بتناول المزيد من السكر.,يمكن أن يؤدي تناول الكثير من السكر إلى الإصابة بمرض السكري
8530,يمكن أن يؤدي لعب المزيد من ألعاب الكمبيوتر إلى تحسين الأداء الأكاديمي.,سيؤدي لعب المزيد من ألعاب الكمبيوتر إلى تقليل أدائك الأكاديمي.,يمكن أن يؤدي لعب المزيد من ألعاب الكمبيوتر إلى خفض الأداء الأكاديمي,العمل الجاد يمكن أن يحسن الأداء الأكاديمي بشكل أفضل من ألعاب الكمبيوتر.
8531,شرب القهوة يساعد الأطفال على النمو,لا تحتوي القهوة على العناصر الغذائية التي تجعلك تنمو أطول,لا توجد مكونات في القهوة من شأنها أن تعزز النمو.,القهوة مضرّة للأطفال.
8532,يمكن للناس تغيير مصائرهم من خلال البحث عن المتعة.,الجشع من أجل المتعة يفسد مصير المرء.,السعي وراء المتعة لا يغير شيئًا,لا يمكن للمتعة أن تغير مصير الشخص.
8533,المعلمون يحبون الأطفال غير الشرفاء.,الكذب صفة سيئة لا يحبها أحد.,الأطفال غير الشرفاء هم سيئون.,الأطفال غير الشرفاء مكروهون
8534,يمكننا إحداث الكثير من الضوضاء في المكتبة.,الضوضاء غير مسموح بها في المكتبة.,المكتبة للقراءة والدراسة ، مكان هادئ ، فلا يسمح بإحداث ضوضاء في المكتبة,المكتبة مكان هادئ لأن الناس يقرؤون.
8535,يمكننا التدخين في الأماكن العامة.,يمنع التدخين في الأماكن العامة.,التدخين ممنوع في كثير من الأماكن.,يُعاقب على التدخين في الأماكن العامة.
8536,يمكن للأطفال تلقي المعرفة فقط من معلميهم.,المعلمون ليسوا المصدر الوحيد حيث يمكن للأطفال تلقي المعرفة.,يكتسب الأطفال المعرفة من معلمهم وأيضًا من أولياء الأمور المحيطين بهم.,المعلمون مهمون في تقديم بعض الإرشادات في حياة الطفل.
8537,تخرج الخفافيش للصيد أثناء النهار.,تنام الخفافيش أثناء النهار.,لا أحد يرى الخفافيش خلال النهار.,الخفافيش ليلية
8538,يمكنني لعب كرة الريشة بمفردي.,تنس الريشة هي رياضة تتطلب موهبتين.,شخصان ضروريان للعب كرة الريشة.,أنت بحاجة إلى شخصين أو أكثر للعب كرة الريشة.
8539,يوجد الكثير من الماء في الصحراء,الصحراء مكان شديد النقص في المياه.,سوف تجف المياه الصحراوية بسبب ارتفاع درجة الحرارة.,الصحارى جافة جدًا ولديها القليل من مصادر المياه.
8540,كل الكوريين يحبون المخللات.,قد يكون هناك بعض الكوريين الذين لا يحبون المخللات.,إذا كانت الميمبريس من نفس العرق مثل نفس الأشياء لن تجعلها متطابقة ، وهذا أمر سخيف.,لا يحب الجميع المخللات
8541,اتصل بي ورن هاتفه.,سوف يرن الهاتف الذي يتم الاتصال به,لا يمكن للهاتف أن يرن أثناء الاتصال بشخص ما عليه.,قبل الاتصال بالهاتف لا يرن
8542,لا نحتاج لغسل أيدينا بعد الذهاب إلى المرحاض.,من غير الصحي عدم غسل اليدين بعد الذهاب إلى المرحاض.,لا نحتاج لغسل أيدينا قبل تناول الطعام,بعد التبول ، اليدين مليئة بالبكتيريا.
8543,السهر يمكن أن يطيل حياة الشخص.,السهر ليس جيدًا لصحتك.,عدم السهر لوقت متأخر يمكن أن يقصر من حياة الإنسان ، كما أنه يسبب مشاكل صحية,الحصول على قسط كافٍ من النوم كل ليلة أمر مهم للعيش حياة طويلة وصحية.
8544,عادة ما يخفف الناس من التوتر بقتل الناس.,قتل الناس أمر غير قانوني وهو ليس شيئًا يفعله الناس عادةً.,قتل الناس مخالف للقانون.,قتل الناس عمل غير قانوني وغير أخلاقي ولن يخفف التوتر.
8545,لديك حمى وتحتاج إلى مواصلة العمل.,العمل سوف يؤدي إلى تفاقم المرض.,لا يستطيع المرء العمل مع الحمى.,الحمى معدية وتعني أنك مريض.
8546,عندما نحزن ، نضحك.,عادة لا يضحك الناس عندما يكونون حزينين.,عادة ما يبكي الأشخاص الحزينة ، ويرتبط الضحك بشكل أكثر شيوعًا على أنه تعبير عن الفرح.,الناس يبكون عندما يكونون حزينين.
8547,انها واعدت أجنبي أمس.,لا يوجد دليل واضح على وجود كائنات فضائية في العالم.,واعدت شخصًا في فصلها.,واعدت روبوت أمس.
8548,يمكن للإنسان أن يعيش على عطارد.,الزئبق ليس لديه بيئة مناسبة للوجود البشري.,الزئبق غير مناسب لحياة الإنسان.,لا يمكن للبيئة على عطارد أن تدعم حياة الإنسان
8549,يمكننا البصق في كل مكان.,قد ينشر البصق البكتيريا والفيروسات.,البصق في الأماكن العامة ليس مهذبًا.,يجب أن يتم البصق فقط في مناطق محددة وليس في كل مكان
8550,يمكنك أن تأكل طعام فاسد.,يمكن للطعام الفاسد أن يصيب الناس بالمرض.,الطعام الفاسد ضار بجسمنا,قد يجعلك الطعام الفاسد مريضًا.
8551,معظم الناس لديهم قلوب في صدره الأيمن.,عادة ، يكون القلب على الجانب الأيسر من جسم الإنسان.,يقع قلب الإنسان على يسار الصدر.,يتم وضع القلوب في نفس المكان داخل كل جسد.
8552,الجراد حشرات مفيدة.,يمكن أن يدمر الجراد المحاصيل حتى تكون آفة وليست حشرات مفيدة.,لا يمكن أن يكون الجراد مفيدًا للبشر.,الجراد هو آفات للزراعة بسبب قدرته على تكوين أسراب كثيفة وعالية الحركة.
8553,غالبًا ما تركب الأفعوانية لأنها تعاني من مرض في القلب.,لا يُسمح للأشخاص المصابين بأمراض القلب بركوب الأفعوانية.,لم تركب قط الأفعوانية لأنها تعاني من مرض في القلب ، افترض أنها تركب الأفعوانية تعني أنها ستواجه الكثير من المشاكل مثل القيء,الركوب على الأفعوانية ليس جيدًا لمريض القلب
8554,يجب على الناس تناول وجبة دسمة.,الإفراط في تناول الطعام ليس مفيدًا للصحة.,الإفراط في الأكل سيؤدي إلى مشاكل صحية خطيرة.,الإفراط في الأكل غير صحي للناس.
8555,يمكن استخدام المسطرة في الكتابة.,المسطرة هي أداة قياس.,المسطرة للقياس,تستخدم المسطرة للقياس.
8556,كان الجو حارًا لدرجة أنه شرب كوبًا من الماء الساخن,الماء الساخن ساخن جدًا بحيث لا يبرد بشكل فعال,الماء الساخن سيجعلك أكثر سخونة,ليبرد ويشبع عطشه ، شرب كوبًا كبيرًا من الماء.
8557,لقد ربط العصا بثعبان,لا يمكن استخدام الثعبان لربط الأشياء,الثعبان لن يجلس جيدًا حول العصا,ربط العصا بورقة شجر
8558,كان في مزاج سيئ لدرجة أنه لم يستطع المساعدة في الرقص,يرقص الناس فقط عندما يكونون في مزاج جيد,يتجنب الشخص ذو المزاج السيئ الغناء أو الرقص,المزاج السيئ لا يجعلك تريد الرقص
8559,كان لديه الكثير من العمل للقيام به ، لذلك غادر مبكرًا,الكثير من العمل يطيل ساعات العمل,يتطلب الحصول على الكثير من العمل البقاء لوقت متأخر لإنهاء كل العمل.,المرة الوحيدة التي يغادر فيها شخص ما مبكرًا هي إذا أكمل جميع أعماله قبل نهاية اليوم.
8560,أطفأ النار بالزيت,يساعد الزيت على إشعال النار ويزيدها سوءًا,الزيت قابل للاشتعال,الزيت قابل للاشتعال ويجعل الحرائق أسوأ.
8561,فتح الباب قبل أن يخرج,عادة ما يغلق الناس الباب عندما يغادرون المنزل,من أجل الخروج من الباب ، عليك أن تفتحه.,عندما تخرج تؤمن منزلك.
8562,لقد نام كثيرا ووصل إلى المكتب مبكرا,الإفراط في النوم سوف يغيب عن ساعات العمل,إذا كنت تنام فلن تكون مبكرًا,لا يمكن للمرء الذهاب إلى المكتب في وقت مبكر بعد النوم.
8563,التقط سكينًا وبدأ في تمشيط شعره,تمشيط شعرك بالسكين سيخدش فروة رأسك,ستقطع السكين الرأس إذا مشطت بها.,نستخدم مشطًا لتمشيط شعرنا
8564,غلي الماء في القدر فاشعل النار,تحتاج إلى إطفاء النار عندما يغلي الماء,كنت ستطفئ نار الماء المغلي,يجب إشعال النار حتى يغلي الماء
8565,خط يده قبيح جدا ، لذلك يمتدحه الجميع,الكتابة اليدوية القبيحة ليست شيئًا يستحق الثناء,إذا كانت الكتابة سيئة فلا يمدحها الناس,عادةً ما يتم منح المديح عندما يكون الشيء جيدًا أو جميلًا في طبيعته.
